"rank","title","growth..30.days.","price","X5.star.ratings","X4.star.ratings","X3.star.ratings","X2.star.ratings","X1.star.ratings","category_num2","int_installs"
78,"Dead Ninja Mortal Shadow",0,0,179842,25379,13194,3868,12714,2,5e+06
79,"Egg Wars",2.7,0,162130,18965,11582,7008,32282,2,1e+07
80,"BlockStarPlanet",0.6,0,138146,29200,15234,9094,37516,2,1e+07
81,"Draw a Stickman: EPIC Free",0.1,0,138400,23863,18402,10703,36295,2,1e+07
82,"Benji Bananas Adventures",0,0,157365,29152,14581,4277,14651,2,1e+07
83,"Hotel Transylvania Adventures - Run, Jump, Build!",1.6,0,158241,19243,10203,5946,21848,2,1e+07
84,"Street Chaser",2.9,0,145750,16991,12760,8788,29960,2,5e+07
85,"Survival Island: EVO 2",0.1,0,119993,23498,18989,9269,39997,2,1e+07
86,"Seven - Deadly Revelation - Horror Chat Adventure",0.8,0,147758,34367,15514,4221,8115,2,1e+06
88,"Zoo 2: Animal Park",3.3,0,133728,29804,12492,6151,16507,2,1e+07
89,"3D Maze / Labyrinth",0.2,0,98565,18794,18944,9746,49042,2,1e+07
90,"CASE: Animatronics - Horror game",1.3,0,150446,19496,8073,3976,12329,2,5e+06
91,"Super City (Superhero Sim)",2.3,0,133402,18770,10413,5673,18581,2,1e+07
93,"Adventure Time: Heroes of Ooo",0.1,0,126910,17057,11464,6311,22030,2,1e+07
94,"Friendzoned",2.3,0,147853,22052,7044,1945,3053,2,1e+06
95,"Nobodies: Murder Cleaner",1.2,0,132974,25480,9471,3989,8297,2,5e+06
96,"Stranger Things: The Game",0.5,0,140060,19349,7801,3140,7046,2,5e+06
97,"Homicide Squad: New York Cases",2.2,0,115451,35716,15616,3101,4572,2,1e+06
98,"Futurama: Worlds of Tomorrow",0.2,0,103163,29913,14632,6981,18826,2,5e+06
99,"Jurassic Survival Island: Dinosaurs & Craft",0.7,0,110047,17316,9570,6629,26966,2,1e+07
100,"Critical Action :Gun Strike Ops - Shooting Game",3.3,0,111103,13416,9395,6867,28932,2,5e+07
24,"Hungry Shark World",0.8,0,1357022,198527,92350,42783,120271,3,1e+08
26,"Geometry Dash Meltdown",0.3,0,1299263,184269,91635,32702,114671,3,5e+07
27,"Angry Birds Seasons",0,0,1243088,203499,96034,40038,97223,3,1e+08
29,"Crowd City",0.9,0,1053541,154097,93873,56003,184632,3,1e+08
30,"Brothers in Arms® 3",0.2,0,1012546,179911,87761,37253,136410,3,1e+07
34,"Payback 2 - The Battle Sandbox",2.7,0,956576,113172,55695,30242,110792,3,1e+08
35,"Angry Birds Space",0.2,0,921296,142403,80546,32192,78048,3,1e+08
36,"Skater Boy",0.1,0,913605,102146,67172,27563,102835,3,1e+08
37,"Ant Smasher",0,0,770908,126156,97219,38195,172701,3,1e+08
39,"Tap Tap Dash",0.2,0,769162,151810,83475,36388,107936,3,5e+07
40,"101-in-1 Games",0,0,793834,207268,80919,13969,39659,3,1e+07
41,"Doodle Jump",0.1,0,830403,135199,64265,23174,78062,3,5e+07
42,"Hole.io",0.6,0,677916,137400,76010,45664,155793,3,1e+08
43,"Zombie Roadkill 3D",0.4,0,744528,117072,73852,36326,108610,3,5e+07
44,"Lep's World 2 🍀🍀",0.6,0,790448,85451,53289,32351,106389,3,1e+08
45,"Rider",0.9,0,619359,142736,94505,49800,156326,3,5e+07
46,"Lep's World 🍀",1.3,0,804810,81852,47679,27860,91772,3,1e+08
47,"Angry Birds Friends",0.9,0,707099,115037,66960,33899,122890,3,1e+08
48,"Dan the Man: Action Platformer",3.5,0,852131,89639,32908,14214,49587,3,1e+07
49,"Rail Rush",0.2,0,771054,104754,59370,24069,75842,3,5e+07
50,"Geometry Dash World",0.8,0,739849,113379,57603,24568,87183,3,5e+07
51,"Lep's World 3 🍀🍀🍀",0.6,0,737202,83699,47744,26834,83459,3,5e+07
52,"Knife Hit",1.4,0,661142,90062,59535,31155,88884,3,1e+08
53,"Zombie Smasher",0.1,0,670950,107406,61188,20349,64368,3,5e+07
54,"Cookie Run: OvenBreak - Endless Running Platformer",0.8,0,650474,86021,42019,19410,72938,3,1e+07
55,"PAC-MAN",0.3,0,513457,98544,66342,39913,135730,3,1e+08
59,"Multiplayer for Minecraft PE - MCPE Servers",0.6,0,519219,44419,40672,27978,153344,3,1e+07
60,"Vector 2",0.4,0,532777,79244,56302,30912,84108,3,5e+07
62,"Geometry Dash",0.6,1.99,623950,73997,25169,9705,34694,3,1e+06
63,"Jewels Switch",0,0,602986,86561,31527,9119,21710,3,1e+07
65,"Stick Hero",0,0,457063,98278,54702,19323,61040,3,1e+07
66,"Zombie High School",0,0,403782,94046,58979,27439,99781,3,1e+07
67,"Stupid Zombies",0.8,0,452995,76508,50755,25712,74859,3,5e+07
68,"Sky Whale",0.2,0,482649,62720,37136,17205,59065,3,1e+07
70,"Draw it",0.9,0,345285,85882,56078,32737,87907,3,5e+07
71,"Fernanfloo",0.2,0,518005,33306,15855,7728,32518,3,1e+07
72,"Sky Roller",1.9,0,430289,62631,29278,19002,64857,3,1e+08
73,"Geometry Dash SubZero",2.1,0,461516,57677,26461,10521,41000,3,5e+07
75,"Cartoon Wars",0,0,377160,58374,42190,17641,93406,3,1e+07
76,"Run",0.2,0,450545,63282,26052,9697,30581,3,1e+07
77,"Snake VS Block",0.1,0,324049,96083,55078,27180,69501,3,5e+07
78,"Zombie World War",0,0,343285,94364,61079,20066,42150,3,1e+07
79,"My Boy! Free - GBA Emulator",0.4,0,417161,51029,24360,9592,50939,3,1e+07
80,"Daddy Long Legs",0,0,353551,83290,33656,15378,46044,3,1e+07
81,"Burrito Bison: Launcha Libre",1.1,0,434295,55719,18969,6103,13545,3,1e+07
82,"Bricks Ball Crusher",3.2,0,378387,43851,25859,11740,42316,3,1e+07
83,"Stickman Hook",0.8,0,284229,73671,51337,25788,65755,3,5e+07
84,"Falcon Squad: Galaxy Attack - Free shooting games",1.2,0,394660,41775,18966,9143,29916,3,5e+07
86,"Evil Nun : Scary Horror Game Adventure",1.8,0,365442,36401,18912,11536,47261,3,1e+07
87,"BBTAN by 111%",0,0,330135,64298,32019,11508,38527,3,1e+07
88,"Prize Claw",0.1,0,296581,49238,44288,17779,65148,3,5e+07
89,"Monster Dash",0,0,341438,51488,28267,8847,35958,3,1e+07
90,"Polysphere - art of puzzle",0.2,0,253101,61198,44358,28292,75776,3,5e+07
91,"Ball Blast",1.2,0,312383,61234,27577,13638,46687,3,1e+07
92,"Will Hero",0.8,0,310141,53367,29556,12688,55013,3,1e+07
93,"Duet",0.2,0,369343,47744,17674,6328,17984,3,1e+07
94,"Tigerball",0.2,0,300896,68275,33278,12973,36235,3,1e+07
95,"Infinite Stairs",1.1,0,294043,51149,27853,12672,61632,3,1e+07
96,"Sky Force 2014",0.1,0,332108,57547,25741,8980,21836,3,1e+07
97,"Human Evolution Clicker: Tap and Evolve Life Forms",0.4,0,267057,57315,40846,22798,56545,3,1e+07
98,"Slendrina:The Cellar (Free)",0.6,0,305278,36305,24626,15697,61371,3,1e+07
99,"Run Sausage Run!",0.9,0,266158,45126,35593,22503,73687,3,1e+08
100,"Tank Hero",0.1,0,308926,54591,26725,10594,36750,3,1e+07
7,"Chess",2.4,0,1060550,206896,93112,38989,115093,4,1e+08
8,"Okey Plus",0.1,0,965860,69309,40832,16780,149706,4,1e+07
9,"Paint By Number - Coloring Book & Color by Number",3,0,944530,124068,54027,25310,71898,4,1e+08
10,"Ludo Club - Fun Dice Game",2.4,0,884572,108121,53324,27010,135599,4,5e+07
13,"Checkers",1.7,0,673962,122577,49476,19674,62333,4,5e+07
14,"Bingo Blitz™️ - Bingo Games",1.8,0,577133,101989,34574,14423,30360,4,1e+07
15,"Ludo STAR",1.6,0,586766,56989,29822,11245,50747,4,1e+07
16,"Bingo Bash featuring MONOPOLY: Live Bingo Games",0.6,0,491446,71693,33722,16666,32722,4,1e+07
17,"Bingo Showdown Free Bingo Games – Bingo Live Game",0.1,0,482591,54478,28315,10380,20691,4,5e+06
18,"Mahjong Titan",0.4,0,411456,133606,32789,4314,6771,4,1e+07
19,"Çanak Okey Plus",0.4,0,442106,24944,15124,7901,79957,4,1e+07
20,"Ludo Star 2",2.2,0,410189,45241,30537,16583,63853,4,1e+07
21,"Okey",0.2,0,460107,37172,21810,9842,36703,4,1e+07
22,"Checkers",1.8,0,359579,68669,37353,19010,53295,4,1e+08
24,"1LINE – One Line with One Touch",1,0,341542,50923,28129,13939,38352,4,5e+07
25,"BINGO!",0.3,0,388433,34151,16681,6656,21848,4,1e+07
26,"Backgammon Plus",0.1,0,272186,23114,15782,8430,145857,4,5e+06
27,"LANDLORD TYCOON Business Simulator Investing Game",0.4,0,338050,67242,18359,8241,32092,4,5e+06
28,"Real Chess",0.4,0,254575,65390,27284,12019,41900,4,1e+07
29,"Slots: VIP Deluxe Slot Machines Free - Vegas Slots",0.9,0,356432,16830,6506,2768,10693,4,5e+06
