Link;Rank;Title;Artist/s;Streams
https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5;181;Polvo;Nicky Jam, Myke Towers;762.078
https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB;182;Starboy;The Weeknd, Daft Punk;761.413
https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw;183;Closer;The Chainsmokers, Halsey;756.580
https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I;184;when the party's over;Billie Eilish;751.499
https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN;185;Girls Like Us;Zoe Wees;751.438
https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A;186;Payphone;Maroon 5, Wiz Khalifa;748.014
https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq;187;In the End;Linkin Park;745.294
https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa;188;Facas - Ao Vivo;Diego & Victor Hugo, Bruno & Marrone;743.483
https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm;189;Love Not War (The Tampa Beat);Jason Derulo, Nuka;740.537
https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf;190;Smells Like Teen Spirit;Nirvana;739.465
https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9;191;hot girl bummer;blackbear;737.166
https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ;192;Electric Love;BØRNS;731.825
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW;193;Something Just Like This;The Chainsmokers, Coldplay;731.679
https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL;194;Devil Eyes;Hippie Sabotage;731.387
https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2;195;Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track;Jack Harlow;729.149
https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ;196;Without Me;Halsey;729.036
https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr;197;Someone To You;BANNERS;728.903
https://open.spotify.com/track/2h9TDNEXRhcDIV3fsoEVq9;198;What Other People Say;Sam Fischer, Demi Lovato;727.535
https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ;199;Parce (feat. Justin Quiles);Maluma, Lenny Tavárez;726.894
https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs;200;Vida de Rico;Camilo;726.874
